pg_id,pg_vec,vertex_id,x,y,t
13,1000,1,0,0,0
14,1001,2,0,0,1
15,1002,3,0,0,2
16,1010,7,0,1,0
17,1011,8,0,1,1
18,1012,9,0,1,2
19,1020,10,0,2,0
20,1021,11,0,2,1
21,1022,12,0,2,2
22,1100,19,1,0,0
23,1101,20,1,0,1
24,1102,21,1,0,2
25,1110,37,1,1,0
26,1111,38,1,1,1
27,1112,39,1,1,2
28,1120,28,1,2,0
29,1121,29,1,2,1
30,1122,30,1,2,2
31,1200,16,2,0,0
32,1201,17,2,0,1
33,1202,18,2,0,2
34,1210,25,2,1,0
35,1211,26,2,1,1
36,1212,27,2,1,2
37,1220,34,2,2,0
38,1221,35,2,2,1
39,1222,36,2,2,2
