gen,cycle_len,hol_rot_Z3,hol_flip_Z2
2,1,1,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,1,1,0
2,1,1,0
2,3,0,0
2,3,0,0
2,3,0,0
2,1,1,0
2,1,1,0
2,3,0,0
2,3,0,0
2,3,0,0
2,1,1,0
2,1,1,0
2,3,0,0
2,3,0,0
2,3,0,0
2,1,1,0
2,3,0,0
2,3,0,0
2,3,0,0
2,1,1,0
2,3,0,0
2,3,0,0
2,3,0,0
2,1,1,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
2,3,0,0
3,1,2,0
3,1,2,0
3,1,2,0
3,1,2,0
3,1,2,0
3,1,2,0
3,1,2,0
3,1,2,0
3,1,2,0
3,1,2,0
3,1,2,0
3,1,2,0
3,1,1,0
3,1,1,0
3,3,0,0
3,3,0,0
3,3,0,0
3,1,1,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,1,1,0
3,1,1,0
3,3,0,0
3,3,0,0
3,1,1,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,1,1,0
3,1,1,0
3,3,0,0
3,3,0,0
3,1,1,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,1,1,0
3,1,1,0
3,3,0,0
3,3,0,0
3,1,1,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
3,3,0,0
4,3,0,0
4,1,0,0
4,1,2,0
4,1,1,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,3,0,0
4,1,2,0
4,1,1,0
4,1,0,0
4,3,0,0
4,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,1,0,0
5,3,0,0
5,3,0,0
5,1,2,0
5,1,1,0
5,1,2,0
5,1,1,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,1,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
5,3,0,0
6,2,0,0
6,4,0,0
6,2,0,0
6,4,0,0
6,4,0,0
6,2,0,0
6,2,0,0
6,2,0,0
6,4,0,0
6,4,0,0
6,4,0,0
6,2,0,0
6,4,0,0
6,4,0,0
6,4,0,0
6,4,0,0
6,4,0,0
6,4,0,0
6,4,0,0
6,4,0,0
6,4,0,0
6,4,0,0
6,2,0,0
6,4,0,0
6,4,0,0
6,2,0,0
6,4,0,0
6,4,0,0
6,2,0,0
6,4,0,0
6,2,0,0
6,4,0,0
6,4,0,0
6,4,0,0
6,4,0,0
6,4,0,0
6,4,0,0
6,4,0,0
6,4,0,0
6,2,0,0
6,4,0,0
6,4,0,0
6,4,0,0
6,4,0,0
6,4,0,0
6,4,0,0
6,4,0,0
6,2,0,0
6,4,0,0
6,4,0,0
6,4,0,0
6,4,0,0
6,4,0,0
6,4,0,0
6,4,0,0
6,4,0,0
6,4,0,0
6,4,0,0
6,2,0,0
6,4,0,0
6,4,0,0
6,4,0,0
6,4,0,0
6,2,0,0
6,4,0,0
6,2,0,0
6,4,0,0
6,2,0,0
7,2,0,0
7,4,0,0
7,2,0,0
7,4,0,0
7,2,0,0
7,4,0,0
7,2,0,0
7,4,0,0
7,4,0,0
7,2,0,0
7,4,0,0
7,2,0,0
7,4,0,0
7,4,0,0
7,4,0,0
7,4,0,0
7,4,0,0
7,4,0,0
7,4,0,0
7,4,0,0
7,4,0,0
7,4,0,0
7,2,0,0
7,2,0,0
7,2,0,0
7,4,0,0
7,4,0,0
7,4,0,0
