tail_line,head_line,tri_a,tri_b,tri_c,image_face,edge_special_face,holonomy
16,3,8,17,22,"9,20,21","8,20,22",1
16,6,7,18,23,"9,20,21","7,20,23",1
16,8,6,15,24,"9,20,21","6,20,24",1
16,10,5,16,25,"9,20,21","5,20,25",1
16,22,2,13,29,"9,20,21","2,20,29",1
16,26,3,12,28,"9,20,21","3,20,28",1
17,11,2,10,24,"5,28,33","2,24,33",1
17,13,6,19,29,"5,28,33","6,29,33",1
17,15,4,17,34,"5,28,33","4,28,34",1
17,23,9,16,32,"5,28,33","9,32,33",1
17,24,7,14,31,"5,28,33","7,28,31",1
17,25,0,12,21,"5,28,33","0,21,33",1
18,0,9,18,26,"7,24,27","9,26,27",1
18,11,2,11,33,"7,24,27","2,24,33",1
18,19,8,19,25,"7,24,27","8,25,27",1
18,27,1,12,34,"7,24,27","1,24,34",1
18,30,4,15,21,"7,24,27","4,21,27",1
18,38,5,14,22,"7,24,27","5,22,27",1
19,0,9,17,26,"8,25,27","9,26,27",1
19,9,3,11,33,"8,25,27","3,25,33",1
19,18,7,19,24,"8,25,27","7,24,27",1
19,28,1,13,35,"8,25,27","1,25,35",1
19,30,4,16,21,"8,25,27","4,21,27",1
19,33,6,14,23,"8,25,27","6,23,27",1
20,4,5,17,30,"4,29,35","5,30,35",1
20,12,7,15,32,"4,29,35","7,32,35",1
20,13,6,18,33,"4,29,35","6,29,33",1
20,28,1,10,25,"4,29,35","1,25,35",1
20,29,8,16,31,"4,29,35","8,29,31",1
20,35,0,11,23,"4,29,35","0,23,35",1
21,1,3,18,23,"1,21,31","3,23,31",1
21,5,2,17,22,"1,21,31","2,22,31",1
21,24,7,12,28,"1,21,31","7,28,31",1
21,25,0,14,33,"1,21,31","0,21,33",1
21,29,8,13,29,"1,21,31","8,29,31",1
21,30,4,10,27,"1,21,31","4,21,27",1
22,6,7,11,23,"2,20,29","7,20,23",1
22,10,5,10,25,"2,20,29","5,20,25",1
22,14,0,15,32,"2,20,29","0,20,32",1
22,16,9,13,21,"2,20,29","9,20,21",1
22,26,3,19,28,"2,20,29","3,20,28",1
22,34,1,17,30,"2,20,29","1,20,30",1
23,7,8,17,34,"9,32,33","8,32,34",1
23,9,3,12,25,"9,32,33","3,25,33",1
23,11,2,13,24,"9,32,33","2,24,33",1
23,12,7,18,35,"9,32,33","7,32,35",1
23,13,6,15,29,"9,32,33","6,29,33",1
23,17,5,16,28,"9,32,33","5,28,33",1
24,5,2,11,22,"7,28,31","2,22,31",1
24,15,4,15,34,"7,28,31","4,28,34",1
24,17,5,14,33,"7,28,31","5,28,33",1
24,21,1,12,21,"7,28,31","1,21,31",1
24,29,8,19,29,"7,28,31","8,29,31",1
24,39,9,18,30,"7,28,31","9,30,31",1
25,9,3,16,25,"0,21,33","3,25,33",1
25,11,2,15,24,"0,21,33","2,24,33",1
25,13,6,13,29,"0,21,33","6,29,33",1
25,17,5,12,28,"0,21,33","5,28,33",1
25,21,1,14,31,"0,21,33","1,21,31",1
25,30,4,11,27,"0,21,33","4,21,27",1
26,3,8,11,22,"3,20,28","8,20,22",1
26,8,6,10,24,"3,20,28","6,20,24",1
26,14,0,16,32,"3,20,28","0,20,32",1
26,16,9,12,21,"3,20,28","9,20,21",1
26,22,2,19,29,"3,20,28","2,20,29",1
26,34,1,18,30,"3,20,28","1,20,30",1
27,7,8,13,32,"1,24,34","8,32,34",1
27,11,2,17,33,"1,24,34","2,24,33",1
27,15,4,10,28,"1,24,34","4,28,34",1
27,18,7,12,27,"1,24,34","7,24,27",1
27,31,0,14,22,"1,24,34","0,22,34",1
27,36,3,18,26,"1,24,34","3,26,34",1
28,9,3,18,33,"1,25,35","3,25,33",1
28,12,7,12,32,"1,25,35","7,32,35",1
28,19,8,13,27,"1,25,35","8,25,27",1
28,20,4,10,29,"1,25,35","4,29,35",1
28,35,0,14,23,"1,25,35","0,23,35",1
28,37,2,17,26,"1,25,35","2,26,35",1
29,1,3,11,23,"8,29,31","3,23,31",1
29,13,6,14,33,"8,29,31","6,29,33",1
29,20,4,16,35,"8,29,31","4,29,35",1
29,21,1,13,21,"8,29,31","1,21,31",1
29,24,7,19,28,"8,29,31","7,28,31",1
29,39,9,17,30,"8,29,31","9,30,31",1
30,18,7,15,24,"4,21,27","7,24,27",1
30,19,8,16,25,"4,21,27","8,25,27",1
30,21,1,10,31,"4,21,27","1,21,31",1
30,25,0,11,33,"4,21,27","0,21,33",1
30,33,6,18,23,"4,21,27","6,23,27",1
30,38,5,17,22,"4,21,27","5,22,27",1
31,2,6,13,30,"0,22,34","6,30,34",1
31,5,2,15,31,"0,22,34","2,22,31",1
31,15,4,11,28,"0,22,34","4,28,34",1
31,27,1,14,24,"0,22,34","1,24,34",1
31,36,3,16,26,"0,22,34","3,26,34",1
31,38,5,12,27,"0,22,34","5,22,27",1
32,3,8,16,22,"4,20,26","8,20,22",1
32,6,7,15,23,"4,20,26","7,20,23",1
32,8,6,18,24,"4,20,26","6,20,24",1
32,10,5,17,25,"4,20,26","5,20,25",1
32,14,0,11,32,"4,20,26","0,20,32",1
32,34,1,10,30,"4,20,26","1,20,30",1
33,0,9,15,26,"6,23,27","9,26,27",1
33,1,3,10,31,"6,23,27","3,23,31",1
33,19,8,14,25,"6,23,27","8,25,27",1
33,30,4,18,21,"6,23,27","4,21,27",1
33,35,0,13,35,"6,23,27","0,23,35",1
33,38,5,19,22,"6,23,27","5,22,27",1
34,3,8,13,22,"1,20,30","8,20,22",1
34,6,7,12,23,"1,20,30","7,20,23",1
34,14,0,14,32,"1,20,30","0,20,32",1
34,22,2,17,29,"1,20,30","2,20,29",1
34,26,3,18,28,"1,20,30","3,20,28",1
34,32,4,10,26,"1,20,30","4,20,26",1
35,1,3,16,31,"0,23,35","3,23,31",1
35,4,5,12,30,"0,23,35","5,30,35",1
35,20,4,11,29,"0,23,35","4,29,35",1
35,28,1,14,25,"0,23,35","1,25,35",1
35,33,6,13,27,"0,23,35","6,23,27",1
35,37,2,15,26,"0,23,35","2,26,35",1
36,0,9,12,27,"3,26,34","9,26,27",1
36,2,6,10,30,"3,26,34","6,30,34",1
36,7,8,11,32,"3,26,34","8,32,34",1
36,27,1,18,24,"3,26,34","1,24,34",1
36,31,0,16,22,"3,26,34","0,22,34",1
36,37,2,19,35,"3,26,34","2,26,35",1
37,0,9,13,27,"2,26,35","9,26,27",1
37,4,5,10,30,"2,26,35","5,30,35",1
37,12,7,11,32,"2,26,35","7,32,35",1
37,28,1,17,25,"2,26,35","1,25,35",1
37,35,0,15,23,"2,26,35","0,23,35",1
37,36,3,19,34,"2,26,35","3,26,34",1
38,0,9,16,26,"5,22,27","9,26,27",1
38,5,2,10,31,"5,22,27","2,22,31",1
38,18,7,14,24,"5,22,27","7,24,27",1
38,30,4,17,21,"5,22,27","4,21,27",1
38,31,0,12,34,"5,22,27","0,22,34",1
38,33,6,19,23,"5,22,27","6,23,27",1
39,1,3,12,23,"9,30,31","3,23,31",1
39,2,6,15,34,"9,30,31","6,30,34",1
39,4,5,16,35,"9,30,31","5,30,35",1
39,5,2,13,22,"9,30,31","2,22,31",1
39,24,7,18,28,"9,30,31","7,28,31",1
39,29,8,17,29,"9,30,31","8,29,31",1
