cycle_id,cycle_len,pos,root,image
16,6,5,"(2, 2, 3, 4, 3, 2, 1, 0)","(-1, -1, -1, -2, -2, -1, -1, 0)"
17,6,0,"(-1, -1, -2, -2, -1, -1, -1, -1)","(-1, -1, -1, -2, -2, -2, -2, -1)"
17,6,1,"(-1, -1, -1, -2, -2, -2, -2, -1)","(0, 1, 1, 2, 1, 1, 0, 0)"
17,6,2,"(0, 1, 1, 2, 1, 1, 0, 0)","(1, 1, 2, 3, 2, 1, 1, 1)"
17,6,3,"(1, 1, 2, 3, 2, 1, 1, 1)","(2, 2, 3, 4, 4, 3, 2, 1)"
17,6,4,"(2, 2, 3, 4, 4, 3, 2, 1)","(0, -1, 0, -1, 0, 0, 0, 0)"
17,6,5,"(0, -1, 0, -1, 0, 0, 0, 0)","(-1, -1, -2, -2, -1, -1, -1, -1)"
18,6,0,"(-1, -1, -2, -2, -1, -1, -1, 0)","(-1, -1, -2, -3, -3, -3, -2, -1)"
18,6,1,"(-1, -1, -2, -3, -3, -3, -2, -1)","(0, 0, 1, 1, 0, 0, 0, 0)"
18,6,2,"(0, 0, 1, 1, 0, 0, 0, 0)","(2, 2, 3, 4, 3, 3, 2, 1)"
18,6,3,"(2, 2, 3, 4, 3, 3, 2, 1)","(0, 0, 0, 0, -1, -1, -1, -1)"
18,6,4,"(0, 0, 0, 0, -1, -1, -1, -1)","(1, 1, 2, 2, 1, 0, 0, 0)"
18,6,5,"(1, 1, 2, 2, 1, 0, 0, 0)","(-1, -1, -2, -2, -1, -1, -1, 0)"
19,6,0,"(-1, -1, -2, -2, -2, -1, -1, 0)","(0, 0, 1, 1, 1, 1, 1, 1)"
19,6,1,"(0, 0, 1, 1, 1, 1, 1, 1)","(0, -1, 0, 0, 0, 0, 0, 0)"
19,6,2,"(0, -1, 0, 0, 0, 0, 0, 0)","(1, 1, 2, 3, 2, 2, 1, 0)"
19,6,3,"(1, 1, 2, 3, 2, 2, 1, 0)","(1, 1, 1, 2, 2, 1, 1, 1)"
19,6,4,"(1, 1, 1, 2, 2, 1, 1, 1)","(-1, -1, -1, -1, 0, 0, 0, 0)"
19,6,5,"(-1, -1, -1, -1, 0, 0, 0, 0)","(-1, -1, -2, -2, -2, -1, -1, 0)"
20,6,0,"(-1, -1, -2, -3, -2, -1, 0, 0)","(1, 2, 2, 4, 3, 2, 1, 1)"
20,6,1,"(1, 2, 2, 4, 3, 2, 1, 1)","(-1, -1, -1, -2, -2, -2, -1, -1)"
20,6,2,"(-1, -1, -1, -2, -2, -2, -1, -1)","(1, 1, 2, 3, 3, 2, 1, 0)"
20,6,3,"(1, 1, 2, 3, 3, 2, 1, 0)","(-1, -2, -2, -3, -2, -1, -1, -1)"
20,6,4,"(-1, -2, -2, -3, -2, -1, -1, -1)","(1, 2, 2, 3, 3, 2, 1, 1)"
20,6,5,"(1, 2, 2, 3, 3, 2, 1, 1)","(-1, -1, -2, -3, -2, -1, 0, 0)"
21,6,0,"(-1, -1, -2, -3, -2, -2, -1, 0)","(0, 0, -1, 0, 0, 0, 0, 0)"
21,6,1,"(0, 0, -1, 0, 0, 0, 0, 0)","(2, 3, 4, 6, 4, 3, 2, 1)"
21,6,2,"(2, 3, 4, 6, 4, 3, 2, 1)","(-1, -2, -2, -3, -3, -2, -2, -1)"
21,6,3,"(-1, -2, -2, -3, -3, -2, -2, -1)","(0, 0, -1, -1, -1, -1, -1, -1)"
