u,v
15,21
32,37
10,34
24,33
15,30
16,29
7,26
15,39
2,39
18,35
8,9
12,25
0,5
3,22
8,18
21,37
23,34
23,25
17,30
11,23
9,35
1,15
27,34
24,26
6,20
10,36
24,35
33,38
2,32
18,28
7,37
20,22
12,27
0,7
3,24
4,23
9,19
11,16
4,32
1,17
13,19
8,32
10,29
13,28
19,32
14,20
24,28
18,21
13,37
11,37
2,34
16,33
24,37
12,20
14,17
20,33
0,9
3,26
14,26
9,21
14,35
27,29
1,19
15,18
7,14
16,26
11,39
2,36
0,2
5,16
31,35
21,34
12,31
3,28
5,25
1,3
10,15
19,27
1,21
28,39
16,19
30,36
2,38
6,29
20,28
6,38
5,18
12,33
3,30
1,14
13,16
28,32
8,29
7,9
19,38
10,35
30,38
2,31
25,33
29,33
4,13
21,29
12,26
3,23
14,23
7,39
4,22
22,27
14,32
31,39
4,31
1,16
11,18
17,34
8,31
10,28
28,34
30,31
16,23
2,33
25,35
15,27
4,6
35,39
12,19
15,36
26,36
4,15
18,32
21,31
3,25
29,35
4,24
4,33
10,12
0,11
17,27
19,24
1,18
9,23
5,34
8,33
10,30
11,38
2,35
32,36
5,6
7,25
18,25
12,21
20,25
26,38
29,37
23,30
1,2
0,4
17,20
8,17
10,14
5,27
1,20
11,22
5,36
19,35
27,39
9,34
13,25
2,37
6,19
13,34
26,31
6,28
7,27
21,26
6,37
16,39
0,6
2,3
20,39
22,36
1,13
27,32
17,31
8,28
34,38
11,24
9,36
15,24
6,21
15,33
6,30
20,36
6,39
7,38
18,38
22,29
0,8
17,24
22,38
36,37
9,20
11,17
8,30
19,30
7,13
4,5
18,22
25,37
4,14
0,1
22,31
10,11
0,10
3,27
9,22
23,39
13,22
7,15
13,31
26,28
23,32
25,30
33,34
21,23
16,36
0,3
5,17
8,16
10,13
12,32
0,12
3,29
5,26
11,12
9,24
14,38
5,35
14,29
17,37
7,8
