x,y,line_equation,inf_ids,inf_reps
0,0,c = 0*a - 0*b (mod 3),1 4 7 10,010 | 100 | 110 | 120
0,1,c = 1*a - 0*b (mod 3),1 5 8 11,010 | 101 | 111 | 121
0,2,c = 2*a - 0*b (mod 3),1 6 9 12,010 | 102 | 112 | 122
1,0,c = 0*a - 1*b (mod 3),3 4 9 11,012 | 100 | 112 | 121
1,1,c = 1*a - 1*b (mod 3),3 5 7 12,012 | 101 | 110 | 122
1,2,c = 2*a - 1*b (mod 3),3 6 8 10,012 | 102 | 111 | 120
2,0,c = 0*a - 2*b (mod 3),2 4 8 12,011 | 100 | 111 | 122
2,1,c = 1*a - 2*b (mod 3),2 5 9 10,011 | 101 | 112 | 120
2,2,c = 2*a - 2*b (mod 3),2 6 7 11,011 | 102 | 110 | 121
