pg_id,X0,X1,X2,X3
0,0,0,0,1
1,0,0,1,0
2,0,0,1,1
3,0,0,1,2
4,0,1,0,0
5,0,1,0,1
6,0,1,0,2
7,0,1,1,0
8,0,1,1,1
9,0,1,1,2
10,0,1,2,0
11,0,1,2,1
12,0,1,2,2
13,1,0,0,0
14,1,0,0,1
15,1,0,0,2
16,1,0,1,0
17,1,0,1,1
18,1,0,1,2
19,1,0,2,0
20,1,0,2,1
21,1,0,2,2
22,1,1,0,0
23,1,1,0,1
24,1,1,0,2
25,1,1,1,0
26,1,1,1,1
27,1,1,1,2
28,1,1,2,0
29,1,1,2,1
30,1,1,2,2
31,1,2,0,0
32,1,2,0,1
33,1,2,0,2
34,1,2,1,0
35,1,2,1,1
36,1,2,1,2
37,1,2,2,0
38,1,2,2,1
39,1,2,2,2
