v1,v2
0,4
0,5
0,6
0,13
0,14
0,15
0,22
0,23
0,24
0,31
0,32
0,33
1,4
1,7
1,10
1,13
1,16
1,19
1,22
1,25
1,28
1,31
1,34
1,37
2,4
2,8
2,12
2,13
2,17
2,21
2,22
2,26
2,30
2,31
2,35
2,39
3,4
3,9
3,11
3,13
3,18
3,20
3,22
3,27
3,29
3,31
3,36
3,38
4,5
4,6
4,7
4,8
4,9
4,10
4,11
4,12
5,6
5,19
5,20
5,21
5,28
5,29
5,30
5,37
5,38
5,39
6,16
6,17
6,18
6,25
6,26
6,27
6,34
6,35
6,36
7,10
7,14
7,17
7,20
7,23
7,26
7,29
7,32
7,35
7,38
8,12
8,14
8,18
8,19
8,23
8,27
8,28
8,32
8,36
8,37
9,11
9,14
9,16
9,21
9,23
9,25
9,30
9,32
9,34
9,39
10,15
10,18
10,21
10,24
10,27
10,30
10,33
10,36
10,39
11,15
11,17
11,19
11,24
11,26
11,28
11,33
11,35
11,37
12,15
12,16
12,20
12,24
12,25
12,29
12,33
12,34
12,38
13,14
13,15
13,16
13,17
13,18
13,19
13,20
13,21
14,15
14,25
14,26
14,27
14,37
14,38
14,39
15,28
15,29
15,30
15,34
15,35
15,36
16,19
16,24
16,27
16,30
16,32
16,35
16,38
17,21
17,24
17,25
17,29
17,32
17,36
17,37
18,20
18,24
18,26
18,28
18,32
18,34
18,39
19,23
19,26
19,29
19,33
19,36
19,39
20,23
20,25
20,30
20,33
20,35
20,37
21,23
21,27
21,28
21,33
21,34
21,38
22,23
22,24
22,25
22,26
22,27
22,28
22,29
22,30
23,24
23,34
23,35
23,36
24,37
24,38
24,39
25,28
25,33
25,36
25,39
26,30
26,33
26,34
26,38
27,29
27,33
27,35
27,37
28,32
28,35
28,38
29,32
29,34
29,39
30,32
30,36
30,37
31,32
31,33
31,34
31,35
31,36
31,37
31,38
31,39
32,33
34,37
35,39
36,38
