u,v,gen,cocycle_Z3_exp,L_u,L_v,s_g,predicted,ok
23,1,g5,0,0,0,0,0,1
23,25,g8,0,0,0,0,0,1
23,25,g9,0,0,0,0,0,1
24,38,g2,0,0,0,0,0,1
24,44,g3,0,0,2,2,0,1
24,8,g5,0,0,0,0,0,1
24,7,g8,0,0,0,0,0,1
24,7,g9,0,0,0,0,0,1
25,33,g2,2,0,2,0,2,1
25,15,g3,1,0,0,2,1,1
25,24,g5,0,0,0,0,0,1
25,23,g8,0,0,0,0,0,1
25,23,g9,0,0,0,0,0,1
26,39,g2,0,1,1,0,0,1
26,4,g3,0,1,0,2,0,1
26,45,g5,0,1,1,0,0,1
26,9,g8,0,1,1,0,0,1
26,9,g9,0,1,1,0,0,1
27,40,g2,0,2,2,0,0,1
27,46,g3,0,2,1,2,0,1
27,2,g5,0,2,2,0,0,1
27,29,g8,0,2,2,0,0,1
27,29,g9,0,2,2,0,0,1
28,41,g2,0,2,2,0,0,1
28,14,g3,2,2,0,2,2,1
28,11,g5,0,2,2,0,0,1
28,10,g8,0,2,2,0,0,1
28,10,g9,0,2,2,0,0,1
29,42,g2,0,2,2,0,0,1
29,47,g3,0,2,1,2,0,1
29,28,g5,0,2,2,0,0,1
29,27,g8,0,2,2,0,0,1
29,27,g9,0,2,2,0,0,1
30,43,g2,0,2,2,0,0,1
30,48,g3,0,2,1,2,0,1
30,9,g5,2,2,1,0,2,1
30,45,g8,2,2,1,0,2,1
30,45,g9,2,2,1,0,2,1
31,44,g2,0,2,2,0,0,1
31,28,g3,1,2,2,2,1,1
31,26,g5,2,2,1,0,2,1
31,12,g8,0,2,2,0,0,1
31,12,g9,0,2,2,0,0,1
32,13,g2,1,2,0,0,1,1
32,23,g3,2,2,0,2,2,1
32,5,g5,1,2,0,0,1,1
32,33,g8,0,2,2,0,0,1
32,33,g9,0,2,2,0,0,1
33,15,g2,1,2,0,0,1,1
33,25,g3,2,2,0,2,2,1
33,38,g5,1,2,0,0,1,1
33,32,g8,0,2,2,0,0,1
33,32,g9,0,2,2,0,0,1
34,9,g2,0,1,1,0,0,1
34,5,g3,0,1,0,2,0,1
34,37,g5,1,1,2,0,1,1
34,49,g8,0,1,1,0,0,1
34,49,g9,0,1,1,0,0,1
35,10,g2,0,2,2,0,0,1
35,17,g3,2,2,0,2,2,1
35,46,g5,2,2,1,0,2,1
35,50,g8,0,2,2,0,0,1
35,50,g9,0,2,2,0,0,1
36,11,g2,0,2,2,0,0,1
36,49,g3,0,2,1,2,0,1
36,47,g5,2,2,1,0,2,1
36,16,g8,0,2,2,0,0,1
36,16,g9,0,2,2,0,0,1
37,12,g2,0,2,2,0,0,1
37,35,g3,1,2,2,2,1,1
37,48,g5,2,2,1,0,2,1
37,51,g8,0,2,2,0,0,1
37,51,g9,0,2,2,0,0,1
38,14,g2,0,0,0,0,0,1
38,51,g3,0,0,2,2,0,1
38,18,g5,0,0,0,0,0,1
38,17,g8,0,0,0,0,0,1
38,17,g9,0,0,0,0,0,1
39,49,g2,0,1,1,0,0,1
39,8,g3,0,1,0,2,0,1
39,52,g5,0,1,1,0,0,1
39,19,g8,0,1,1,0,0,1
39,19,g9,0,1,1,0,0,1
40,46,g2,2,2,1,0,2,1
40,27,g3,1,2,2,2,1,1
40,6,g5,0,2,2,0,0,1
40,42,g8,0,2,2,0,0,1
40,42,g9,0,2,2,0,0,1
41,50,g2,0,2,2,0,0,1
41,24,g3,2,2,0,2,2,1
41,21,g5,0,2,2,0,0,1
41,20,g8,0,2,2,0,0,1
41,20,g9,0,2,2,0,0,1
42,47,g2,2,2,1,0,2,1
42,29,g3,1,2,2,2,1,1
42,41,g5,0,2,2,0,0,1
42,40,g8,0,2,2,0,0,1
