mode,rep,base_ints,num_exprs,alpha__best_pct_error,alpha__hits_le_1.0,higgs_over_z__best_pct_error,higgs_over_z__hits_le_1.0,omega_lambda__best_pct_error,omega_lambda__hits_le_1.0,cabibbo_deg__best_pct_error,cabibbo_deg__hits_le_1.0,alpha__hits_le_0.1,higgs_over_z__hits_le_0.1,omega_lambda__hits_le_0.1,cabibbo_deg__hits_le_0.1
strict,22,"[11, 3, 24, 17, 13, 12, 2, 26, 20, 22, 25, 388, 141, 83, 306, 1223, 6708]",60000,0.04344534776133098,18,0.012184145709914145,37,0.025331659736032783,30,0.0,118,2,2,2,17
strict,23,"[3, 14, 24, 18, 29, 30, 26, 2, 22, 25, 15, 400, 264, 73, 195, 5891, 5289]",60000,0.026276703649624464,14,0.00744840025415425,37,0.08676395630385098,27,0.0,41,3,3,1,8
strict,24,"[21, 16, 19, 18, 8, 4, 29, 20, 13, 22, 3, 105, 86, 147, 348, 4348, 2341]",60000,0.2404319506585195,16,0.0142843864443331,41,0.09475952798875849,28,0.014607069821788249,117,0,3,1,18
strict,25,"[6, 8, 23, 10, 14, 17, 12, 4, 13, 21, 29, 114, 338, 272, 168, 5431, 1702]",60000,0.021268394337242022,12,0.03414868105515438,31,0.05119415168954089,29,0.010890478091994697,128,3,2,4,23
strict,26,"[23, 10, 17, 29, 6, 25, 5, 8, 26, 7, 22, 53, 369, 32, 59, 2943, 3881]",60000,0.12977663594957414,14,0.006411208436130796,40,0.08289846612810119,31,0.0,47,0,8,2,8
strict,27,"[5, 11, 8, 23, 4, 25, 18, 15, 21, 24, 20, 224, 237, 77, 133, 2515, 6871]",60000,0.019278316353994036,20,0.10469277911004306,32,0.0853987063886831,23,0.0,44,2,0,1,6
strict,28,"[28, 13, 24, 8, 30, 18, 23, 3, 9, 5, 11, 315, 193, 177, 196, 3382, 1354]",60000,0.09872793205268028,14,0.03414868105515438,31,0.0016128772116523271,25,0.0062601727807722295,140,1,2,3,18
strict,29,"[10, 15, 12, 28, 24, 4, 22, 19, 20, 30, 23, 172, 48, 196, 56, 2145, 4507]",60000,0.09872793205268028,17,0.050307481178821334,35,0.049958544110512905,31,0.012680702767613107,139,1,5,1,13
strict,30,"[17, 30, 22, 27, 20, 12, 7, 21, 14, 18, 2, 256, 68, 330, 128, 6690, 5391]",60000,0.15108667458110514,12,0.001895623066924506,34,0.016078143683914588,28,0.022722108611678175,48,0,5,3,6
strict,31,"[14, 25, 11, 8, 18, 17, 23, 21, 24, 15, 20, 262, 397, 334, 96, 4206, 4101]",60000,0.022776537741169018,15,0.10469277911004306,22,0.025331659736032783,30,0.0,39,3,0,3,6
strict,32,"[25, 14, 7, 4, 10, 12, 6, 26, 22, 20, 23, 395, 299, 159, 85, 1822, 6098]",60000,0.017977292533444926,15,0.013324630976364028,28,0.0717379733706972,27,0.0,45,2,4,2,6
strict,33,"[7, 6, 13, 23, 15, 29, 18, 5, 22, 25, 24, 229, 388, 208, 373, 4554, 5514]",60000,0.011378539112288042,12,0.013324630976347843,37,0.10962003393717414,28,0.0,113,2,2,0,20
strict,34,"[2, 26, 11, 4, 14, 25, 29, 21, 18, 16, 30, 83, 62, 323, 151, 2255, 2896]",60000,0.026276703649624464,14,0.0032061908889280863,43,0.022975489286595496,38,0.0,48,2,3,1,5
strict,35,"[24, 4, 30, 2, 25, 3, 21, 26, 20, 18, 27, 324, 386, 193, 109, 6052, 3812]",60000,0.07694385141876624,17,0.00744840025415425,28,0.03181462976571454,27,0.0,62,1,1,3,10
strict,36,"[9, 11, 21, 24, 29, 12, 26, 28, 14, 25, 7, 47, 303, 345, 233, 1820, 4581]",60000,0.0174273764245609,19,0.00744840025415425,37,0.06534358770269659,21,0.0,47,4,6,2,6
strict,37,"[15, 14, 9, 16, 26, 22, 4, 28, 2, 18, 7, 237, 167, 335, 332, 3789, 3096]",60000,0.006899507529025193,18,0.010775698872093413,38,0.00776431587938293,32,0.007603092298296675,175,1,5,4,10
strict,38,"[16, 7, 4, 2, 19, 22, 10, 12, 30, 27, 11, 321, 144, 299, 275, 4222, 1904]",60000,0.026276703649624464,16,0.09594364912111573,39,0.013821354478844437,29,0.022722108611678175,71,1,2,3,10
strict,39,"[13, 3, 26, 2, 28, 9, 18, 21, 10, 20, 16, 175, 255, 125, 297, 6575, 1216]",60000,0.041489825581742634,14,0.00744840025415425,38,0.06364661612157044,21,0.006014675808968427,155,1,2,2,17
strict,40,"[23, 25, 12, 30, 16, 14, 21, 19, 20, 3, 9, 351, 278, 356, 308, 2534, 4927]",60000,0.06176299812627498,19,0.058554406474819576,36,0.0947595279887746,29,0.0,53,3,2,1,8
strict,41,"[29, 25, 10, 11, 20, 7, 17, 19, 27, 14, 23, 269, 333, 313, 300, 4413, 4561]",60000,0.050339526979409716,16,0.001895623066924506,31,0.013821354478860555,31,0.0,52,3,5,4,10
strict,42,"[3, 6, 12, 23, 5, 21, 14, 28, 26, 19, 9, 147, 219, 166, 117, 6141, 4632]",60000,0.030679487929990104,21,0.00744840025415425,38,0.0717379733706972,23,0.004304538030218842,113,5,4,2,17
strict,43,"[9, 29, 12, 5, 17, 11, 4, 22, 3, 19, 27, 140, 384, 389, 148, 2576, 5142]",60000,0.026276703649624464,20,0.036402789386282206,33,0.06486296394332816,29,0.01223304903911688,66,1,4,3,5
strict,44,"[27, 15, 20, 22, 29, 23, 5, 3, 2, 6, 9, 322, 36, 214, 318, 5001, 5275]",60000,0.11772737799729219,15,0.00609522044201157,41,0.0016128772116523271,34,0.022722108611678175,42,0,3,3,8
strict,45,"[21, 3, 8, 4, 18, 12, 26, 6, 25, 19, 30, 169, 191, 307, 265, 3101, 1859]",60000,0.00739454991818031,18,0.00744840025415425,28,0.0016128772116523271,23,0.0,174,3,4,2,14
strict,46,"[16, 11, 5, 3, 27, 8, 24, 10, 23, 4, 6, 147, 107, 118, 80, 5338, 2151]",60000,0.026276703649624464,13,0.07174734788439724,24,0.04753277699055772,24,0.01223304903911688,52,1,1,1,8
strict,47,"[13, 25, 22, 10, 26, 4, 7, 28, 27, 18, 15, 159, 250, 43, 251, 6673, 2579]",60000,0.006640680381718341,16,0.001895623066924506,27,0.0853987063886831,28,0.0,123,2,6,2,13
strict,48,"[29, 10, 17, 11, 24, 30, 26, 14, 5, 21, 19, 299, 162, 124, 192, 5147, 5291]",60000,0.00413566384921198,22,0.0032061908889280863,31,0.009175599120505943,30,0.01179801793298177,41,4,4,5,9
strict,49,"[12, 17, 28, 16, 6, 15, 10, 27, 22, 20, 26, 294, 177, 219, 58, 6241, 5788]",60000,0.09872793205269216,18,0.00744840025415425,34,0.06486296394332816,29,0.01179801793298177,52,1,5,4,8
strict,50,"[21, 12, 17, 26, 4, 10, 19, 30, 6, 11, 23, 117, 168, 224, 317, 6891, 2514]",60000,0.08308055110117708,15,0.028961073565394325,37,0.0717379733706972,35,0.01179801793298177,117,2,3,2,13
strict,51,"[28, 22, 12, 9, 13, 30, 19, 21, 2, 26, 16, 149, 358, 300, 202, 6124, 4928]",60000,0.018283660283035706,18,0.00744840025415425,39,0.0947595279887746,22,0.0,136,3,3,1,19
strict,52,"[20, 15, 9, 6, 25, 28, 13, 10, 8, 27, 11, 378, 317, 276, 370, 4318, 6395]",60000,0.0007574251891956655,22,0.07918159921939337,34,0.1552202307028835,23,0.0,118,1,2,0,24
strict,53,"[26, 3, 10, 22, 11, 23, 12, 2, 7, 18, 24, 92, 198, 397, 57, 6149, 2235]",60000,0.02985476475870875,12,0.04736795117466948,38,0.048789535652664195,22,0.01179801793298177,51,2,4,2,5
strict,54,"[4, 22, 18, 8, 17, 27, 24, 19, 13, 15, 7, 150, 140, 156, 41, 5708, 5375]",60000,0.026276703649624464,23,0.03414868105515438,36,0.008860351435466448,34,0.006783891238058113,150,2,3,4,17
strict,55,"[13, 29, 7, 20, 17, 12, 5, 11, 24, 27, 23, 234, 49, 264, 171, 4958, 4430]",60000,0.0994476260432434,12,0.036402789386282206,33,0.025331659736032783,43,0.007175402719479469,131,1,2,4,19
strict,56,"[12, 27, 11, 23, 9, 25, 6, 17, 28, 21, 15, 296, 42, 261, 204, 4337, 6856]",60000,0.010771193968609717,19,0.0944289547191701,36,0.04197839877909528,32,0.0,42,3,1,3,6
strict,57,"[25, 14, 13, 17, 22, 4, 27, 10, 5, 24, 12, 291, 207, 55, 145, 4708, 4419]",60000,0.06924331735387436,13,0.03414868105515438,28,0.06486296394332816,29,0.0,122,1,2,2,17
strict,58,"[30, 5, 18, 22, 29, 4, 26, 21, 8, 17, 14, 384, 262, 197, 156, 3649, 3339]",60000,0.0779173345833509,16,0.00744840025415425,39,0.08289846612810119,30,0.01179801793298177,42,1,3,1,6
strict,59,"[27, 19, 4, 12, 17, 9, 21, 2, 23, 6, 5, 212, 134, 330, 357, 3217, 5231]",60000,0.029641518340190614,16,0.009936896770871423,34,0.010103684448261109,26,0.022722108611678175,57,2,2,6,7
strict,60,"[13, 22, 10, 18, 14, 19, 6, 25, 7, 28, 2, 150, 249, 303, 190, 1160, 1706]",60000,0.026276703649624464,15,0.013324630976347843,51,0.013821354478860555,43,0.0,127,1,7,5,15
strict,61,"[17, 15, 9, 13, 19, 22, 26, 29, 12, 28, 24, 195, 131, 69, 124, 2910, 3642]",60000,0.018283660283035706,18,0.00744840025415425,40,0.0016128772116362111,35,0.008919637208728393,119,3,4,5,14
strict,62,"[19, 5, 30, 29, 15, 23, 4, 6, 7, 12, 3, 131, 156, 240, 140, 6555, 6524]",60000,0.01665302884120696,17,0.025979338471134712,27,0.05722933278606556,24,0.01223304903911688,72,4,3,3,9
strict,63,"[14, 5, 9, 19, 28, 26, 21, 12, 13, 11, 25, 358, 274, 197, 75, 1310, 1536]",60000,0.018283660283035706,10,0.00744840025415425,34,0.012891738831646227,26,0.0,110,3,2,2,16
