u,v,w,centers,z2_parity,s3_holonomy_startsheet0,s3_type_startsheet0,fiber6_cycle_type,fiber6_perm,rotor_sheet,rotor_perm,tau_sheet_swap_perm,holonomy_type
4,10,12,1,1,"(1, 2, 0)",3cycle,"(2, 2, 2)","(4, 5, 3, 2, 0, 1)",,,"(1, 2, 0)",identity
4,10,14,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 4, 5, 3)",1.0,"(1, 2, 0)",,identity
4,10,15,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 5, 3, 4)",1.0,"(2, 0, 1)",,identity
4,10,18,0,0,"(1, 2, 0)",3cycle,"(3, 1, 1, 1)","(1, 2, 0, 3, 4, 5)",0.0,"(1, 2, 0)",,identity
4,10,19,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 4, 5, 3)",1.0,"(1, 2, 0)",,identity
4,10,23,1,1,"(2, 0, 1)",3cycle,"(2, 2, 2)","(5, 3, 4, 1, 2, 0)",,,"(2, 0, 1)",identity
4,10,26,0,0,"(2, 0, 1)",3cycle,"(3, 1, 1, 1)","(2, 0, 1, 3, 4, 5)",0.0,"(2, 0, 1)",,identity
4,10,28,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 5, 3, 4)",1.0,"(2, 0, 1)",,identity
4,10,30,1,1,"(1, 2, 0)",3cycle,"(2, 2, 2)","(4, 5, 3, 2, 0, 1)",,,"(1, 2, 0)",identity
4,10,33,3,0,"(0, 1, 2)",id,"(1, 1, 1, 1, 1, 1)","(0, 1, 2, 3, 4, 5)",,,,identity
4,10,34,0,0,"(1, 2, 0)",3cycle,"(3, 1, 1, 1)","(1, 2, 0, 3, 4, 5)",0.0,"(1, 2, 0)",,identity
4,10,35,0,0,"(2, 0, 1)",3cycle,"(3, 1, 1, 1)","(2, 0, 1, 3, 4, 5)",0.0,"(2, 0, 1)",,identity
4,10,40,1,1,"(0, 1, 2)",id,"(2, 2, 2)","(3, 4, 5, 0, 1, 2)",,,"(0, 1, 2)",identity
4,10,41,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 5, 3, 4)",1.0,"(2, 0, 1)",,identity
4,10,43,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 4, 5, 3)",1.0,"(1, 2, 0)",,identity
4,10,44,1,1,"(0, 1, 2)",id,"(2, 2, 2)","(3, 4, 5, 0, 1, 2)",,,"(0, 1, 2)",identity
4,11,12,0,0,"(1, 2, 0)",3cycle,"(3, 1, 1, 1)","(1, 2, 0, 3, 4, 5)",0.0,"(1, 2, 0)",,identity
4,11,14,1,1,"(0, 1, 2)",id,"(2, 2, 2)","(3, 4, 5, 0, 1, 2)",,,"(0, 1, 2)",identity
4,11,15,1,1,"(1, 2, 0)",3cycle,"(2, 2, 2)","(4, 5, 3, 2, 0, 1)",,,"(1, 2, 0)",identity
