u,v,w,centers,z2_parity,s3_holonomy_startsheet0,s3_type_startsheet0,fiber6_cycle_type,fiber6_perm,rotor_sheet,rotor_perm,tau_sheet_swap_perm,holonomy_type
2,41,43,1,1,"(0, 1, 2)",id,"(2, 2, 2)","(3, 4, 5, 0, 1, 2)",,,"(0, 1, 2)",identity
2,41,44,0,0,"(1, 2, 0)",3cycle,"(3, 1, 1, 1)","(1, 2, 0, 3, 4, 5)",0.0,"(1, 2, 0)",,identity
2,42,43,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 4, 5, 3)",1.0,"(1, 2, 0)",,identity
2,42,44,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 5, 3, 4)",1.0,"(2, 0, 1)",,identity
2,43,44,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 4, 5, 3)",1.0,"(1, 2, 0)",,identity
3,4,5,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 4, 5, 3)",1.0,"(1, 2, 0)",,identity
3,4,6,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 5, 3, 4)",1.0,"(2, 0, 1)",,identity
3,4,7,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 5, 3, 4)",1.0,"(2, 0, 1)",,identity
3,4,8,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 4, 5, 3)",1.0,"(1, 2, 0)",,identity
3,4,11,0,0,"(1, 2, 0)",3cycle,"(3, 1, 1, 1)","(1, 2, 0, 3, 4, 5)",0.0,"(1, 2, 0)",,identity
3,4,12,0,0,"(2, 0, 1)",3cycle,"(3, 1, 1, 1)","(2, 0, 1, 3, 4, 5)",0.0,"(2, 0, 1)",,identity
3,4,19,0,0,"(1, 2, 0)",3cycle,"(3, 1, 1, 1)","(1, 2, 0, 3, 4, 5)",0.0,"(1, 2, 0)",,identity
3,4,20,0,0,"(2, 0, 1)",3cycle,"(3, 1, 1, 1)","(2, 0, 1, 3, 4, 5)",0.0,"(2, 0, 1)",,identity
3,4,27,0,0,"(1, 2, 0)",3cycle,"(3, 1, 1, 1)","(1, 2, 0, 3, 4, 5)",0.0,"(1, 2, 0)",,identity
3,4,28,0,0,"(2, 0, 1)",3cycle,"(3, 1, 1, 1)","(2, 0, 1, 3, 4, 5)",0.0,"(2, 0, 1)",,identity
3,4,33,1,1,"(0, 2, 1)",transposition,"(2, 2, 2)","(3, 5, 4, 0, 2, 1)",,,"(0, 2, 1)",other
3,4,34,1,1,"(2, 1, 0)",transposition,"(2, 2, 2)","(5, 4, 3, 2, 1, 0)",,,"(2, 1, 0)",other
3,4,35,1,1,"(1, 0, 2)",transposition,"(2, 2, 2)","(4, 3, 5, 1, 0, 2)",,,"(1, 0, 2)",other
3,4,37,1,1,"(2, 1, 0)",transposition,"(2, 2, 2)","(5, 4, 3, 2, 1, 0)",,,"(2, 1, 0)",other
