u,v,gen,cocycle_Z3_exp,qid_u,qid_v,x_u,y_u,z_u,x_v,y_v,z_v
42,47,g2,2,26,13,2,2,0,2,2,2
42,29,g3,1,26,14,2,2,0,2,2,1
42,41,g5,0,26,5,2,2,0,0,2,0
42,40,g8,0,26,26,2,2,0,2,2,0
42,40,g9,0,26,26,2,2,0,2,2,0
43,48,g2,2,23,17,2,1,1,2,1,0
43,30,g3,1,23,9,2,1,1,2,1,2
43,19,g5,2,23,4,2,1,1,0,1,1
43,52,g8,2,23,24,2,1,1,2,0,2
43,52,g9,2,23,24,2,1,1,2,0,2
44,51,g2,0,7,6,0,0,2,0,0,1
44,41,g3,1,7,5,0,0,2,0,2,0
44,39,g5,2,7,16,0,0,2,1,0,2
44,22,g8,0,7,11,0,0,2,1,1,1
44,22,g9,0,7,11,0,0,2,1,1,1
45,52,g2,0,22,24,2,0,0,2,0,2
45,53,g3,0,22,25,2,0,0,2,0,1
45,31,g5,1,22,0,2,0,0,0,0,0
45,30,g8,1,22,9,2,0,0,2,1,2
45,30,g9,1,22,9,2,0,0,2,1,2
46,27,g2,1,13,14,2,2,2,2,2,1
46,40,g3,2,13,26,2,2,2,2,2,0
46,16,g5,1,13,8,2,2,2,0,2,2
46,47,g8,0,13,13,2,2,2,2,2,2
46,47,g9,0,13,13,2,2,2,2,2,2
47,29,g2,1,13,14,2,2,2,2,2,1
47,42,g3,2,13,26,2,2,2,2,2,0
47,50,g5,1,13,8,2,2,2,0,2,2
47,46,g8,0,13,13,2,2,2,2,2,2
47,46,g9,0,13,13,2,2,2,2,2,2
48,30,g2,1,17,9,2,1,0,2,1,2
48,43,g3,2,17,23,2,1,0,2,1,1
48,34,g5,0,17,1,2,1,0,0,1,0
48,53,g8,2,17,25,2,1,0,2,0,1
48,53,g9,2,17,25,2,1,0,2,0,1
49,26,g2,0,18,12,1,0,1,1,0,0
49,18,g3,0,18,21,1,0,1,1,1,0
49,53,g5,2,18,25,1,0,1,2,0,1
49,34,g8,0,18,1,1,0,1,0,1,0
49,34,g9,0,18,1,1,0,1,0,1,0
50,28,g2,0,8,3,0,2,2,0,2,1
50,38,g3,2,8,1,0,2,2,0,1,0
50,36,g5,0,8,10,0,2,2,1,2,2
50,35,g8,0,8,10,0,2,2,1,2,2
50,35,g9,0,8,10,0,2,2,1,2,2
51,31,g2,0,6,0,0,0,1,0,0,0
51,50,g3,1,6,8,0,0,1,0,2,2
51,49,g5,2,6,18,0,0,1,1,0,1
51,37,g8,0,6,21,0,0,1,1,1,0
51,37,g9,0,6,21,0,0,1,1,1,0
52,53,g2,2,24,25,2,0,2,2,0,1
52,45,g3,1,24,22,2,0,2,2,0,0
52,44,g5,1,24,7,2,0,2,0,0,2
52,43,g8,1,24,23,2,0,2,2,1,1
52,43,g9,1,24,23,2,0,2,2,1,1
53,45,g2,1,25,22,2,0,1,2,0,0
53,52,g3,2,25,24,2,0,1,2,0,2
53,51,g5,2,25,6,2,0,1,0,0,1
53,48,g8,1,25,17,2,0,1,2,1,0
53,48,g9,1,25,17,2,0,1,2,1,0
