edge_index,word_len,word,v_i,v_j,root_index,root_coords,we6_orbit_id,we6_orbit_size
218,4,"(4, 5, 6, 5)",27,29,69,"(0, 0, 2, 0, 0, 0, 0, -2)",0,27
197,4,"(4, 5, 6, 7)",22,31,106,"(0, 0, 0, 0, 0, -2, 0, 2)",5,27
172,4,"(4, 6, 5, 0)",18,38,169,"(-1, 1, -1, -1, 1, 1, 1, -1)",3,72
32,4,"(4, 6, 5, 4)",2,39,227,"(1, 1, 1, -1, -1, 1, 1, 1)",2,27
28,4,"(4, 6, 5, 8)",2,35,219,"(1, 1, 1, -1, 1, -1, 1, 1)",5,27
231,4,"(4, 7, 4, 4)",31,35,133,"(1, 1, -1, 1, -1, 1, -1, -1)",6,27
232,4,"(4, 7, 4, 8)",31,39,134,"(1, -1, 1, 1, -1, 1, -1, -1)",6,27
214,4,"(5, 0, 0, 5)",26,28,25,"(2, 0, 0, 0, 0, 0, 0, -2)",0,27
176,4,"(5, 0, 0, 7)",19,28,181,"(1, 1, -1, 1, -1, -1, -1, 1)",3,72
179,4,"(5, 0, 2, 7)",19,37,185,"(1, 1, -1, -1, 1, -1, -1, 1)",3,72
131,4,"(5, 0, 5, 0)",12,37,94,"(0, 0, 0, 0, -2, 0, 2, 0)",5,27
237,4,"(5, 0, 5, 4)",34,38,140,"(1, -1, -1, 1, 1, 1, -1, -1)",6,27
223,4,"(5, 0, 5, 6)",28,35,101,"(0, 0, 0, 0, 0, 2, -2, 0)",7,1
155,4,"(5, 0, 7, 5)",16,25,147,"(1, 1, 1, -1, -1, -1, 1, -1)",1,27
122,4,"(5, 7, 4, 1)",11,38,46,"(0, -2, 0, 0, 0, 0, 2, 0)",5,27
76,4,"(6, 5, 4, 6)",7,14,12,"(2, 0, 0, 0, 2, 0, 0, 0)",3,72
185,5,"(0, 0, 1, 1, 4)",20,24,193,"(1, 1, -1, -1, -1, 1, -1, 1)",4,27
101,5,"(0, 0, 1, 1, 5)",9,28,115,"(-1, 1, 1, -1, -1, -1, -1, -1)",0,27
142,5,"(0, 0, 1, 4, 2)",14,26,167,"(1, 1, 1, 1, -1, 1, 1, -1)",3,72
194,5,"(0, 0, 1, 4, 4)",21,33,204,"(-1, -1, -1, 1, 1, 1, -1, 1)",4,27
217,5,"(0, 0, 1, 4, 5)",26,38,65,"(0, 0, 2, 0, 0, 0, -2, 0)",6,27
128,5,"(0, 0, 1, 5, 3)",12,29,70,"(0, 0, -2, 0, 0, 0, 0, 2)",2,27
229,5,"(0, 0, 1, 5, 4)",30,36,127,"(-1, 1, 1, 1, 1, -1, -1, -1)",0,27
94,5,"(0, 0, 1, 5, 5)",8,37,103,"(0, 0, 0, 0, 0, -2, -2, 0)",0,27
125,5,"(0, 0, 1, 5, 7)",12,21,77,"(0, 0, 0, 2, 0, -2, 0, 0)",1,27
74,5,"(0, 0, 4, 1, 1)",6,38,178,"(-1, -1, 1, -1, -1, -1, -1, 1)",3,72
203,5,"(0, 0, 4, 1, 4)",23,35,214,"(-1, -1, 1, 1, -1, -1, 1, 1)",5,27
146,5,"(0, 0, 5, 4, 6)",14,39,175,"(-1, 1, 1, 1, 1, 1, 1, -1)",3,72
83,5,"(0, 0, 5, 4, 7)",7,35,47,"(0, -2, 0, 0, 0, 0, -2, 0)",6,27
141,5,"(0, 0, 5, 5, 6)",14,25,159,"(1, 1, 1, 1, 1, -1, 1, -1)",1,27
215,5,"(0, 0, 7, 4, 5)",26,31,45,"(0, 2, 0, 0, 0, 0, -2, 0)",6,27
191,5,"(0, 1, 1, 4, 2)",21,27,200,"(1, -1, -1, -1, 1, 1, -1, 1)",4,27
166,5,"(0, 1, 1, 4, 4)",17,32,162,"(1, -1, 1, -1, -1, 1, 1, -1)",3,72
80,5,"(0, 1, 1, 5, 3)",7,26,192,"(-1, -1, -1, -1, -1, 1, -1, 1)",4,27
130,5,"(0, 1, 1, 5, 5)",12,34,86,"(0, 0, 0, -2, 0, 0, 0, 2)",2,27
238,5,"(0, 1, 4, 1, 2)",35,39,141,"(-1, 1, -1, 1, 1, 1, -1, -1)",6,27
104,5,"(0, 1, 4, 1, 6)",9,39,118,"(-1, -1, 1, 1, -1, -1, -1, -1)",0,27
207,5,"(0, 1, 4, 2, 5)",24,32,220,"(-1, -1, -1, 1, 1, -1, 1, 1)",5,27
188,5,"(0, 1, 4, 2, 8)",20,36,196,"(1, -1, -1, 1, -1, 1, -1, 1)",4,27
211,5,"(0, 1, 4, 4, 7)",25,32,228,"(-1, -1, -1, 1, -1, 1, 1, 1)",2,27
224,5,"(0, 1, 4, 5, 3)",28,37,105,"(0, 0, 0, 0, 0, 2, 0, -2)",6,27
220,5,"(0, 1, 4, 5, 6)",27,35,85,"(0, 0, 0, 2, 0, 0, 0, -2)",0,27
227,5,"(0, 1, 4, 5, 7)",29,39,125,"(1, 1, -1, 1, 1, -1, -1, -1)",0,27
213,5,"(0, 1, 5, 0, 6)",25,39,21,"(2, 0, 0, 0, 0, 0, -2, 0)",6,27
187,5,"(0, 1, 5, 0, 7)",20,35,195,"(-1, 1, 1, -1, -1, 1, -1, 1)",4,27
103,5,"(0, 1, 5, 3, 8)",9,36,117,"(-1, 1, -1, 1, -1, -1, -1, -1)",0,27
204,5,"(0, 1, 5, 5, 6)",23,37,216,"(1, -1, -1, -1, 1, -1, 1, 1)",5,27
79,5,"(0, 4, 1, 2, 4)",7,23,184,"(-1, -1, -1, -1, 1, -1, -1, 1)",3,72
98,5,"(0, 5, 0, 4, 2)",9,20,57,"(0, 0, 2, 0, -2, 0, 0, 0)",3,72
180,5,"(0, 5, 0, 5, 8)",19,38,186,"(1, -1, 1, -1, 1, -1, -1, 1)",3,72
226,5,"(0, 5, 0, 7, 1)",29,34,123,"(1, 1, 1, -1, 1, -1, -1, -1)",0,27
145,5,"(0, 5, 4, 6, 0)",14,38,174,"(1, -1, 1, 1, 1, 1, 1, -1)",3,72
164,5,"(0, 5, 4, 6, 2)",17,30,158,"(-1, -1, 1, 1, 1, -1, 1, -1)",1,27
84,5,"(0, 5, 4, 7, 1)",7,38,51,"(0, -2, 0, 0, 0, 0, 0, -2)",0,27
91,5,"(0, 5, 4, 7, 3)",8,30,87,"(0, 0, 0, -2, 0, 0, 0, -2)",0,27
87,5,"(0, 5, 5, 7, 3)",8,17,42,"(0, -2, 0, 0, 0, 2, 0, 0)",4,27
219,5,"(0, 5, 6, 4, 1)",27,33,81,"(0, 0, 0, 2, 0, 0, -2, 0)",6,27
234,5,"(4, 1, 1, 4, 4)",32,37,137,"(1, 1, -1, -1, 1, 1, -1, -1)",6,27
